iata_code,icao_code,airline,call_sign,country_region
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom
QB,AAJ,Air Alma,AIR ALMA,Canada
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong
UX,AEA,Air Europa,EUROPA,Spain
IG,AEY,Air Italy,AIR ITALY,Italy
NX,AMU,Air Macau,AIR MACAO,Macao
ZV,AMW,Air Midwest,AIR MIDWEST,United States
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
AF,AFR,Air France,AIRFRANS,France
SB,ACI,Air Caledonie International,AIRCALIN,France
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
ZW,AWI,Air Wisconsin,WISCONSIN,United States
YI,RSI,Air Sunshine,AIR SUNSHINE,United States
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon
NQ,AJX,Air Japan,AIR JAPAN,Japan
VD,LIB,Air Liberté,AIR LIBERTE,France
TT,KLA,Air Lithuania,KAUNAS,Lithuania
"4N",ANT,Air North Charter - Canada,AIR NORTH,Canada
NZ TE,ANZ,Air New Zealand,NEW ZEALAND,New Zealand
QM,AML,Air Malawi,MALAWI,Malawi
ML,BIE,Air Mediterranee,MEDITERRANEE,France
P8,MKG,Air Mekong,MEKONG,Vietnam
BM,"",Air Sicilia,"",Italy
ZX,ABL,Air BC,AIRCOACH,Canada
G8,AGB,Air Service Gabon,"",Gabon
"7T",AGV,Air Glaciers,AIR GLACIERS,Switzerland
"6V",VGA,Air Vegas,AIR VEGAS,United States
NH,ANA,All Nippon Airways,ALL NIPPON,Japan
TZ,TWG,air-taxi Europe,TWINGOOSE,Germany
"2Q",SNC,Air Cargo Carriers,NIGHT CARGO,United States
V7,SNG,Air Senegal International,AIR SENEGAL,Senegal
AB,BER,Air Berlin,AIR BERLIN,Germany
"4D",ASD,Air Sinai,AIR SINAI,Egypt
QN,ARR,Air Armenia,AIR ARMENIA,Armenia
AI,AIC,Air India Limited,AIRINDIA,India
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France
SZ,WOW,Air Southwest,SWALLOW,United Kingdom
"8C",ATN,Air Transport International,AIR TRANSPORT,United States
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu
ZB,BUB,Air Bourbon,BOURBON,Reunion
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
RB,SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France
SW,NMB,Air Namibia,NAMIBIA,Namibia
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana
PE,AEL,Air Europe Italy,AIR EUROPE,Italy
JM,AJM,Air Jamaica,JAMAICA,Jamaica
"6G",AWW,Air Wales,RED DRAGON,United Kingdom
TX,FWI,Air Caraïbes,FRENCH WEST,France
IX,AXB,Air India Express,EXPRESS INDIA,India
BT,BTI,Air Baltic,AIRBALTIC,Latvia
EL,ANK,Air Nippon,ANK AIR,Japan
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain
PX,ANG,Air Niugini,NIUGINI,Papua New Guinea
G9,ABY,Air Arabia,ARABIA,United Arab Emirates
AC,ACA,Air Canada,AIR CANADA,Canada
AP,LAV,AlbaStar,ALBASTAR,Spain
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
S2,RSH,Air Sahara,SAHARA,India
TC,ATC,Air Tanzania,TANZANIA,Tanzania
"2J",VBW,Air Burkina,BURKINA,Burkina Faso
KM,AMC,Air Malta,AIR MALTA,Malta
YT,TGA,Air Togo,AIR TOGO,Togo
G4,AAY,Allegiant Air,ALLEGIANT,United States
M3,TUS,ABSA Cargo,Turismo,Brazil
O4,ABV,Antrak Air,ANTRAK,Ghana
GB,ABX,Airborne Express,ABEX,United States
GB,ABX,ABX Air,ABEX,United States
"8V",ACP,Astral Aviation,ASTRAL CARGO,Kenya
"4G*","",Advance Leasing Company,"",United States
"8T",TID,Air Tindi,"",Canada
Z7*,ADK,ADC Airlines,ADCO,Nigeria
JP,ADR,Adria Airways,ADRIA,Slovenia
EM*,AEB,Aero Benin,AEROBEN,Benin
A3,AEE,Aegean Airlines,AEGEAN,Greece
"2K",GLG,Aerogal,AEROGAL,Ecuador
KD,AEN,Air Enterprise,AIR ENTERPRISE,France
KO,AER,Alaska Central Express,ACE AIR,United States
VX,AES,ACES Colombia,ACES,Colombia
KH,AAH,Aloha Air Cargo,ALOHA,United States
AA,AAL,American Airlines,AMERICAN,United States
AX,—,AmericanConnection[5],—,United States
AN,AAA,Ansett Australia,ANSETT,Australia
"5W",AEU,Astraeus,FLYSTAR,United Kingdom
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine
WK,AFB,American Falcon,AMERICAN FALCON,Argentina
QQ,UTY,Alliance Airlines,UNITY,Australia
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
RV*,AFI,Africaone,AFRICAWORLD,The Gambia
Y2,AFJ,Alliance Air,JAMBO,Uganda
SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia
"5Z",AFX,Airfreight Express,"",United Kingdom
"5D",SLI,Aeroméxico Connect,COSTERA,Mexico
"1A",AGT,Amadeus IT Group,AMADEUS,Spain
JJ,AGX,Aviogenex,GENEX,Serbia
PL,PLI,Aeroperú,Aeroperu,Peru
"8A",BMM,Atlas Blue,ATLAS BLUE,Morocco
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine
J2,AHY,Azerbaijan Airlines,AZAL,Azerbaijan
U3,AIA,Avies,AVIES,Estonia
"4Y",AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
RS,ASV,Air Seoul,AIR SEOUL,South Korea
"5A",AIP,Alpine Air Express,ALPINE AIR,United States
ED*,ABQ,Airblue,PAKBLUE,Pakistan
W4,BES,Aero Services Executive,BIRD EXPRESS,France
IZ,AIZ,Arkia Israel Airlines,ARKIA,Israel
M6,AJT,Amerijet International,AMERIJET,United States
"4A",AKL,Air Kiribati,"",Kiribati
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States
HP,AWE,America West Airlines,CACTUS,United States
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela
TZ,AMT,ATA Airlines,AMTRAN,United States
AM,AMX,Aeroméxico,AEROMEXICO,Mexico
TL,ANO,Airnorth,TOPEND,Australia
OY,ANS,Andes Líneas Aéreas,AEROANDES,Argentina
IW,AOM,AOM French Airlines,French Lines,France
J6,AOC,AVCOM,AERO AVCOM,Russia
"2D",AOG,Aero VIP,AVIP,Argentina
VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines
GV,ARF,Aero Flight,Aero Fox,Germany
JW,APW,Arrow Air,BIG A,United States
"2B",AWT,Albawings,ALBAWINGS,Albania
"4C",ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia
AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina
AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States
PL,ASE,Airstars,MOROZOV,Russia
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
HC,ATI,Aero-Tropics Air Services,"",Australia
FO,ATM,Airlines of Tasmania,AIRTAS,Australia
OS,AUA,Austrian Airlines,AUSTRIAN,Austria
IQ,AUB,Augsburg Airways,AUGSBURG-AIR,Germany
RU,ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia
MO,AUH,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom
NO,AUS,Aus-Air,"",Australia
AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia
AV,AVA,Avianca,AVIANCA,Colombia
A0,MCJ,Avianca Argentina,JETMAC,Argentina
O6,ONE,Avianca Brazil,OCEAN AIR,Brazil
K8,ZAK,Airlink Zambia,"",Zambia
"4Y",BGA,Airbus Transport International,BELUGA,France
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh
HJ,AXF,Asian Express Airlines,FREIGHTEXPRESS,Australia
AK,AXM,AirAsia,RED CAP,Malaysia
D7,XAX,AirAsia X,XANADU,Malaysia
DJ,WAJ,AirAsia Japan,WING ASIA,Japan
I5,IAD,AirAsia India,ARIYA,India
"6V",AXY,Axis Airways,AXIS,France
EX,BJK,Atlantic Airlines,BLACKJACK,United States
"3G",AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
AZ,AZA,Alitalia,ALITALIA,Italy
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany
A2,AZI,Astra Airlines,ASTRA,Greece
R7,OCA,Aserca Airlines,AROSCA,Venezuela
RX,AEH,Aviaexpress,AVEX,Hungary
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States
ZS,AZI,Azzurra Air,AZZURRA,Italy
FF,"",Airshop,"",Netherlands
ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast
BP,BOT,Air Botswana,BOTSWANA,Botswana
GS,UPA,Air Foyle,FOYLE,United Kingdom
VT,VTA,Air Tahiti,AIR TAHITI,French Polynesia
"3N",URG,Air Urga,URGA,Ukraine
VL,VIM,Air VIA,CRYSTAL,Bulgaria
FK,WTA,Africa West,WEST TOGO,Togo
G2,VXG,Avirex,AVIREX-GABON,Gabon
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation
K6,KHV,Angkor Air,AIR ANGKOR,Cambodia
VE,AVE,Avensa,AVENSA,Venezuela
V5,VLI,Avolar Aerolíneas,AEROVOLAR,Mexico
CA,CCA,Air China,AIR CHINA,China
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru
"5F",CIR,Arctic Circle Air Service,AIR ARCTIC,United States
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique
NV,CRF,Air Central,AIR CENTRAL,Japan
CV,CVA,Air Chathams,CHATHAM,New Zealand
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
ZA,CYD,AccessAir,CYCLONE,United States
AH,DAH,Air Algérie,AIR ALGERIE,Algeria
KI,DHI,Adam Air,ADAM SKY,Indonesia
ER,DHL,Astar Air Cargo,D-H-L,United States
HO,DJA,Antinea Airlines,ANTINEA,Algeria
EN,DLA,Air Dolomiti,DOLOMITI,Italy
NM,DRD,Air Madrid,ALADA AIR,Spain
EE,EAY,Aero Airlines,REVAL,Estonia
"4F",ECE,Air City,AIRCITY,Germany
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy
KY,EQL,Air São Tomé and Príncipe,EQUATORIAL,São Tomé and Príncipe
PC,FAJ,Air Fiji,FIJIAIR,Fiji
OF,FIF,Air Finland,AIR FINLAND,Finland
FJ,FJI,Fiji Airways,PACIFIC,Fiji
RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands
QH,FLZ,Aero Leasing,AIR FLORIDA,United States
NY,FXI,Air Iceland,FAXI,Iceland
"2P",GAP,Air Philippines,ORIENT PACIFIC,Philippines
ZX,GGN,Air Georgian,GEORGIAN,Canada
"2U",GIP,Air Guinee Express,FUTURE EXPRESS,Guinea
"0A",GNT,Amber Air,GINTA,Lithuania
DA,GRG,Air Georgia,AIR GEORGIA,Georgia
GL,GRL,Air Greenland,GREENLAND,Denmark
LL,GRO,Allegro,ALLEGRO,Mexico
"5Y",GTI,Atlas Air,GIANT,United States
GG,GUY,Air Guyane,GREEN BIRD,French Guiana
H9,HAD,Air d'Ayiti,HAITI AVIA,Haiti
GG,HAH,Air Comores International,AIR COMORES,Comoros
HD,HLN,Air Holland,ORANGE,Netherlands
"8C",HZT,Air Horizon,HORIZON TOGO,Togo
W9,JAB,Air Bagan,AIR BAGAN,Myanmar
IP,JOL,Atyrau Air Ways,EDIL,Kazakhstan
QK,JZA,Air Canada Jazz,JAZZ,Canada
KK,KKK,Atlasjet,ATLASJET,Turkey
JS,KOR,Air Koryo,AIR KORYO,Democratic People's Republic of Korea
KC,KZR,Air Astana,ASTANALINE,Kazakhstan
LV,LBC,Albanian Airlines,ALBANIAN,Albania
"3S",BOX,Aerologic,GERMAN CARGO,Germany
D4,LID,Alidaunia,ALIDA,Italy
"9I",LLR,Air India Regional,ALLIED,India
XL,LNE,Aerolane,AEROLANE,Ecuador
FL,LPA,Air Leap,LEAP,Sweden
A6,LPV,Air Alps Aviation,ALPAV,Austria
TD,LUR,Atlantis European Airways,"",Armenia
L8,LXG,Air Luxor GB,LUXOR GOLF,Guinea-Bissau
LK,LXR,Air Luxor,AIRLUXOR,Portugal
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar
"9U",MLD,Air Moldova,AIR MOLDOVA,Moldova
L9,MLI,Air Mali,AIR MALI,Mali
A7,MPD,Air Plus Comet,RED COMET,Spain
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico
MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania
"3S*",AEN,Aeroland Airways,"",Greece
"2V*","",Amtrak,"",United States
"8D*",SUW,Astair,"",Russian Federation
F4,NBK,Albarka Air,AL-AIR,Nigeria
AJ,NIG,Aero Contractors,AEROLINE,Nigeria
"8Y",PBU,Air Burundi,AIR-BURUNDI,Burundi
OT,PEL,Aeropelican Air Services,PELICAN,Australia
AD,PRZ,Air Paradise International,RADISAIR,Indonesia
QD,QCL,Air Class Líneas Aéreas,ACLA,Uruguay
QS,QSC,African Safari Airways,ZEBRA,Kenya
"4Y",RBU,Airbus France,AIRBUS FRANCE,France
AG,ARU,Aruba Airlines,ARUBA,Aruba
MC,RCH,Air Mobility Command,REACH,United States
RE,REA,Aer Arann,AER ARANN,Ireland
UU,REU,Air Austral,REUNION,France
ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay
"6K",RIT,Asian Spirit,ASIAN SPIRIT,Philippines
A5,RLA,Airlinair,AIRLINAIR,France
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka
R3,RME,Armenian Airlines,ARMENIAN,Armenia
MV,RML,Air Mediterranean,HELLASMED,Greece
"2O",RNE,Air Salone,AIR SALONE,Sierra Leone
U8,RNV,Armavia,ARMAVIA,Armenia
BQ,ROM,Aeromar Lineas Aereas Dominicanas,BRAVO QUEBEC,Dominican Republic
P5,RPB,AeroRepública,AEROREPUBLICA,Colombia
BF,RSR,Aero-Service,CONGOSERV,Republic of the Congo
"5L",RSU,AeroSur,AEROSUR,Bolivia
EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic
JR,SER,Aero California,AEROCALIFORNIA,Mexico
Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe
M3,SPJ,Air Service,AIR SKOPJE,Macedonia
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia
HC,SZN,Air Senegal,AIR SENEGAL,Senegal
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico
JY,TCI,Air Turks and Caicos,KERRMONT,Turks and Caicos Islands
CG,TOK,Airlines PNG,BALUS,Papua New Guinea
TY,TPC,Air Calédonie,AIRCAL,France
FL,TRS,AirTran Airways,CITRUS,United States
TS,TSC,Air Transat,AIR TRANSAT,Canada
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
U7,UGA,Air Uganda,UGANDA,Uganda
"6U",UKR,Air Ukraine,AIR UKRAINE,Ukraine
"6R",DRU,Alrosa Air Company,MIRNY,Russia
AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil
"6A",CHP,Aviacsa,AVIACSA,Mexico
JZ,SKX,Avia Express,SKY EXPRESS,Sweden
WD*,AAN,Amsterdam Airlines,AMSTEL,Netherlands
AQ,AAH,Aloha Airlines,ALOHA,United States
"3J",AAQ,Air Alliance,LIAISON,Canada
OB,AAT,Austrian Airtransport,AUSTRIAN CHARTER,Austria
SM,AAW,Aberdeen Airways,"",United Kingdom
KJ,AAZ,Asian Air,"",Kyrgyzstan
BX,ABL,Air Busan,AIR BUSAN,Republic of Korea
AK,ABR,Air Bridge Carriers,AIRBRIDGE,United Kingdom
YE,ACQ,Aryan Cargo Express,"",India
VJ,AFF,Africa Airways,AFRIWAYS,Benin
QH,FLA,Air Florida,PALM,United States
"3O",MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
HD,ADO,AIRDO,AIR DO,Japan
X9,NVD,Avion Express,NORDVIND,Lithuania
UJ,LMU,Al Masria Universal Airlines,ALMASRIA,Egypt
ZB,ABN,Air Albania,AIR ALBANIA,Albania
BO,BBW,BB Airways,BEEBEE AIRWAYS,Nepal
JD,CBJ,Beijing Capital Airlines,CAPITAL JET,China
ID,BTK,Batik Air,BATIK,Indonesia
"8Q*",BAJ,Baker Aviation,RODEO,United States
L9,BAL,Belle Air Europe,BELLEAIR EUROPE,Italy
BA,BAW,British Airways,SPEEDBIRD,United Kingdom
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh
BO,BBD,Bluebird Nordic,BLUE CARGO,Iceland
B4,BCF,BACH Flugbetriebsges,BACH,Austria
WX,BCY,CityJet,CITY JET,Ireland
BZ,BDA,Blue Dart Aviation,BLUE DART,India
JA,BON,B&H Airlines,Air Bosna,Bosnia and Herzegovina
J4,BFL,Buffalo Airways,BUFFALO,Canada
"8H",BGH,BH Air,BALKAN HOLIDAYS,Bulgaria
A8,BGL,Benin Golf Air,BENIN GOLF,Benin
U4,BHA,Buddha Air,BUDDHA AIR,Nepal
"4T",BHP,Belair Airlines,BELAIR,Switzerland
UP,BHS,Bahamasair,BAHAMAS,Bahamas
E6,"",Bringer Air Cargo Taxi Aéreo,"",Brazil
LZ,"",Balkan Bulgarian Airlines,"",Bulgaria
TH,"",BA Connect,"",United Kingdom
BS,BIH,British International Helicopters,BRINTEL,United Kingdom
B4,BKA,Bankair,BANKAIR,United States
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand
KF,BLF,Blue1,BLUEFIN,Finland
JV,BLS,Bearskin Lake Air Service,BEARSKIN,Canada
B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria
BD,BMA,BMI,MIDLAND,United Kingdom
BM,BMR,BMI Regional,MIDLAND,United Kingdom
WW,BMI,Bmibaby,BABY,United Kingdom
CH,BMJ,Bemidji Airlines,BEMIDJI,United States
"5Z",BML,Bismillah Airlines,BISMILLAH,Bangladesh
BO,BOU,Bouraq Indonesia Airlines,BOURAQ,Indonesia
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy
"7R",BRB,BRA-Transportes Aéreos,BRA-TRANSPAEREOS,Brazil
"8E",BRG,Bering Air,BERING AIR,United States
B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus
BN,BNF,Braniff International Airways,Braniff,United States
GQ,BSY,Big Sky Airlines,BIG SKY,United States
V9,BTC,BAL Bashkirian Airlines,BASHKIRIAN,Russia
BQ,BTL,Baltia Air Lines,BALTIA,United States
Y6,BTV,Batavia Air,BATAVIA,Indonesia
L9,BTZ,Bristow U.S. LLC,BRISTOW,United States
"1T",BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria
BU,BUN,Buryat Airlines Aircompany,BURAL,Russia
J8,BVT,Berjaya Air,BERJAYA,Malaysia
QW,BWG,Blue Wings,BLUE WINGS,Germany
SN,BXI,Brussels International Airlines,XENIA,Belgium
"8W?","",BAX Global,"",""
DB,BZH,Brit Air,BRITAIR,France
E9,CXS,Boston-Maine Airways,CLIPPER CONNECTION,United States
SN,BEL,Brussels Airlines,BEE-LINE,Belgium
NT,IBB,Binter Canarias,BINTER,Spain
"0B",BLA,Blue Air,BLUE AIR,Romania
KJ,LAJ,British Mediterranean Airways,BEE MED,United Kingdom
FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria
"8N",NKF,Barents AirLink,NORDFLIGHT,Sweden
CJ,CFE,BA CityFlyer,FLYER,United Kingdom
OB,BOV,Boliviana de Aviación,BOLIVIANA,Bolivia
YB,BRJ,Borajet,BORA JET,Turkey
BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago
"7N",PWD,Pawa Dominicana,Pawa Dominicana,Dominican Republic
KR,KME,Cambodia Airways,GIANT IBIS,Cambodia
"5C",ICL,CAL Cargo Air Lines,CAL,Israel
AW,SCH,CHC Airways,SCHREINER,Netherlands
"3C",CMV,Calima Aviación,CALIMA,Spain
MO,CAV,Calm Air,CALM AIR,Canada
R9,CAM,Camai Air,AIR CAMAI,United States
K6,KHV,Cambodia Angkor Air,ANGKOR AIR,Cambodia
UY,UYC,Cameroon Airlines,CAM-AIR,Cameroon
C6,CJA,CanJet,CANJET,Canada
CP,CDN,Canadian Airlines,CANADIAN,Canada
"5T",MPE,Canadian North,EMPRESS,Canada
CP,CPC,Canadian Pacific Airlines,EMPRESS,Canada
W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,Canada
"9K",KAP,Cape Air,CAIR,United States
PT,CCI,Capital Cargo International Airlines,CAPPY,United States
GG,GGC,Cargo 360,LONG-HAUL,United States
"2G",CRG,Cargoitalia,WHITE PELICAN,Italy
W8,CJT,Cargojet Airways,CARGOJET,Canada
CV,CLX,Cargolux,CARGOLUX,Luxembourg
C8,ICV,Cargolux Italia,CARGO MED,Italy
BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago
"8B",GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda
V3,KRP,Carpatair,CARPATAIR,Romania
RV,CPN,Caspian Airlines,CASPIAN,Iran
KA,HDA,Cathay Dragon,DRAGON,Hong Kong
CX,CPA,Cathay Pacific,CATHAY,Hong Kong
KX,CAY,Cayman Airways,CAYMAN,Cayman Islands
"5J",CEB,Cebu Pacific,CEBU,Philippines
"9M",GLR,Central Mountain Air,GLACIER,Canada
J7,CVC,Centre-Avia,AVIACENTRE,Russia
WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States
OP,CHK,Chalk's International Airlines,CHALKS,United States
MG,CCP,Champion Air,CHAMPION AIR,United States
"2Z",CGN,Chang An Airlines,CHANGAN,China
S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad
RP*,CHQ,Chautauqua Airlines,CHAUTAUQUA,United States
C8,WDY,Chicago Jet Group,WINDY CITY,United States
CI,CAL,China Airlines,DYNASTY,Taiwan
CK,CKK,China Cargo Airlines,CARGO KING,China
MU,CES,China Eastern Airlines,CHINA EASTERN,China
G5,HXA,China Express Airlines,CHINA EXPRESS,China
CJ,CBF,China Northern Airlines,CHINA NORTHERN,China
WH,CNW,China Northwest Airlines,CHINA NORTHWEST,China
"8Y",CYZ,China Postal Airlines,CHINA POST,China
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China
KN,CUA,China United Airlines,LIANHANG,China
XO,CXH,China Xinhua Airlines,XINHUA,China
"3Q",CYH,China Yunnan Airlines,YUNNAN,China
X7,CHF,Chitaavia,CHITA,Russia
OQ,CQN,Chongqing Airlines,CHONG QING,China
A2,CIU,Cielos Airlines,CIELOS,Peru
QI,CIM,Cimber Sterling,CIMBER,Denmark
C7,CIN,Cinnamon Air,CINNAMON,Sri Lanka
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany
G3,CIX,City Connexion Airlines,CONNEXION,Burundi
WX,BCY,CityJet,CITY-IRELAND,Ireland
CJ,CFE,CityFlyer Express,FLYER,United Kingdom
CT,CAT,Civil Air Transport,Mandarin,Taiwan
"6P",ISG,Club Air,CLUBAIR,Italy
BX,CST,Coast Air,COAST CENTER,Norway
DQ,"",Coastal Air,U.S. Virgin Islands,United States
"9L",CJC,Colgan Air,COLGAN,United States
YD,CAT,Cologne Air Transport GmbH,"",Germany
OH,COM,Comair,COMAIR,United States
MN,CAW,Comair,COMMERCIAL,South Africa
C5,UCA,CommutAir,COMMUTAIR,United States
KR,CWK,Comores Airlines,CONTICOM,Comoros
GJ,MXC,Compania Mexicargo,MEXICARGO,Mexico
CP,CPZ,Compass Airlines,COMPASS ROSE,United States
DE,CFG,Condor Flugdienst,CONDOR,Germany
CO,COA,Continental Airlines,CONTINENTAL,United States
CO,"",Continental Express,JETLINK,United States
CS,CMI,Continental Micronesia,AIR MIKE,United States
V0,VCV,Conviasa,CONVIASA,Venezuela
CM,CMP,Copa Airlines,COPA,Panama
CQ,CCW,Central Charter,CENTRAL CHARTER,Czech Republic
XC,CAI,Corendon Airlines,CORENDON,Turkey
CD,CND,Corendon Dutch Airlines,DUTCH CORENDON,Netherlands
LF,VTE,Contour Airlines,VOLUNTEER,United States
SS,CRL,Corsairfly,CORSAIR,France
XK,CCM,Corse Méditerranée,CORSICA,France
F5,COZ,Cosmic Air,COSMIC AIR,Nepal
"7C",COY,Coyne Aviation,COYNE AIR,United Kingdom
OU,CTN,Croatia Airlines,CROATIA,Croatia
QE,ECC,Crossair Europe,Cigogne,Switzerland
CU,CUB,Cubana de Aviación,CUBANA,Cuba
CY,CYP,Cyprus Airways,CYPRUS,Cyprus
YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey
OK,CSA,Czech Airlines,CSA,Czech Republic
"8L",CGP,Cargo Plus Aviation,"",United Arab Emirates
GJ,CDC,CDI Cargo Airlines,HUALONG,China
"5Z",KEM,CemAir,CEMAIR,South Africa
XG,CLI,Clickair,CLICKJET,Spain
PN,CHB,West Air (China),WEST CHINA,China
V5,VPA,DanubeWings,VIP TAXI,Slovakia
